time	V(vout)
8.156999999999265e-001	2.844589e+000
8.157999999999265e-001	2.845466e+000
8.158999999999265e-001	2.840845e+000
8.159999999999265e-001	2.837745e+000
8.161064013577948e-001	2.836611e+000
8.161231837055067e-001	2.836437e+000
8.161399660532186e-001	2.836321e+000
8.161567484009306e-001	2.836263e+000
8.161735307486424e-001	2.836263e+000
8.161903130963544e-001	2.836321e+000
8.162070954440662e-001	2.836437e+000
8.162238777917782e-001	2.836611e+000
8.162999999999264e-001	2.837540e+000
8.163999999999264e-001	2.837469e+000
8.164153117330906e-001	2.837226e+000
8.164306234662546e-001	2.837005e+000
8.164459351994188e-001	2.836808e+000
8.164612469325828e-001	2.836634e+000
8.164765586657470e-001	2.836484e+000
8.164918703989110e-001	2.836357e+000
8.165071821320752e-001	2.836254e+000
8.165999999999264e-001	2.835004e+000
8.166999999999264e-001	2.835100e+000
8.167999999999264e-001	2.835564e+000
8.168999999999264e-001	2.832584e+000
8.169999999999263e-001	2.831464e+000
8.170285714284977e-001	2.831901e+000
8.170571428570692e-001	2.832356e+000
8.170857142856406e-001	2.832830e+000
8.171142857142121e-001	2.833322e+000
8.171428571427835e-001	2.833833e+000
8.171714285713549e-001	2.834361e+000
8.171999999999263e-001	2.834908e+000
8.172999999999263e-001	2.832659e+000
8.173999999999263e-001	2.830141e+000
8.175061694044652e-001	2.832552e+000
8.175544626740646e-001	2.832695e+000
8.176027559436639e-001	2.833114e+000
8.176510492132634e-001	2.833809e+000
8.176993424828628e-001	2.834782e+000
8.177476357524622e-001	2.836030e+000
8.177959290220616e-001	2.837556e+000
8.178442222916610e-001	2.839358e+000
8.178999999999262e-001	2.842247e+000
8.179999999999262e-001	2.843715e+000
8.180999999999262e-001	2.839916e+000
8.181999999999262e-001	2.838739e+000
8.182999999999262e-001	2.839937e+000
8.183999999999262e-001	2.836399e+000
8.184999999999262e-001	2.833903e+000
8.185999999999262e-001	2.836899e+000
8.186999999999262e-001	2.834576e+000
8.187999999999261e-001	2.831967e+000
8.188999999999261e-001	2.833934e+000
8.189999999999261e-001	2.831238e+000
8.190999999999261e-001	2.826469e+000
8.191177142553309e-001	2.826270e+000
8.191354285107355e-001	2.826050e+000
8.191531427661403e-001	2.825810e+000
8.191708570215450e-001	2.825549e+000
8.191885712769498e-001	2.825269e+000
8.192062855323544e-001	2.824968e+000
8.192239997877592e-001	2.824647e+000
8.192999999999261e-001	2.822410e+000
8.193999999999261e-001	2.819183e+000
8.194999999999261e-001	2.815373e+000
8.195999999999261e-001	2.810374e+000
8.196999999999260e-001	2.810366e+000
8.197999999999260e-001	2.810201e+000
8.198285714284974e-001	2.808585e+000
