time	V(vout)
8.217999999999258e-001	2.370184e+000
8.218999999999258e-001	2.366379e+000
8.219285714284972e-001	2.366055e+000
8.219571428570687e-001	2.365861e+000
8.219857142856401e-001	2.365795e+000
8.220142857142115e-001	2.365857e+000
8.220428571427829e-001	2.366048e+000
8.220714285713544e-001	2.366368e+000
8.220999999999258e-001	2.366816e+000
8.221999999999258e-001	2.366169e+000
8.222285714284972e-001	2.365046e+000
8.222571428570686e-001	2.363879e+000
8.222857142856400e-001	2.362669e+000
8.223142857142115e-001	2.361416e+000
8.223428571427829e-001	2.360119e+000
8.223714285713544e-001	2.358780e+000
8.223999999999258e-001	2.357397e+000
8.224999999999257e-001	2.355637e+000
8.225999999999257e-001	2.357865e+000
8.226999999999257e-001	2.354456e+000
8.227999999999257e-001	2.354081e+000
8.228999999999257e-001	2.357535e+000
8.229999999999257e-001	2.355583e+000
8.230999999999257e-001	2.351968e+000
8.231999999999257e-001	2.348800e+000
8.232999999999257e-001	2.349413e+000
8.233151999999262e-001	2.348827e+000
8.233303999999269e-001	2.348225e+000
8.233455999999274e-001	2.347608e+000
8.233607999999280e-001	2.346975e+000
8.233759999999285e-001	2.346327e+000
8.233911999999292e-001	2.345663e+000
8.234063999999297e-001	2.344983e+000
8.234340571427863e-001	2.343823e+000
8.234617142856429e-001	2.342897e+000
8.234893714284994e-001	2.342206e+000
8.235170285713559e-001	2.341750e+000
8.235446857142125e-001	2.341528e+000
8.235723428570690e-001	2.341540e+000
8.235999999999256e-001	2.341788e+000
8.236999999999256e-001	2.338911e+000
8.237999999999256e-001	2.333811e+000
8.238999999999256e-001	2.329979e+000
8.239999999999256e-001	2.326393e+000
8.240999999999256e-001	2.327078e+000
8.241999999999256e-001	2.323594e+000
8.242999999999255e-001	2.320297e+000
8.243999999999255e-001	2.317925e+000
8.244999999999255e-001	2.312219e+000
8.245285714284969e-001	2.311911e+000
8.245571428570684e-001	2.311501e+000
8.245857142856398e-001	2.310990e+000
8.246142857142113e-001	2.310378e+000
8.246428571427826e-001	2.309665e+000
8.246714285713541e-001	2.308850e+000
8.246999999999255e-001	2.307934e+000
8.247999999999255e-001	2.304887e+000
8.248999999999255e-001	2.299220e+000
8.249151262288764e-001	2.297848e+000
8.249302524578273e-001	2.296608e+000
8.249453786867782e-001	2.295500e+000
8.249605049157290e-001	2.294525e+000
8.249756311446800e-001	2.293683e+000
8.249907573736308e-001	2.292973e+000
8.250058836025818e-001	2.292396e+000
8.250999999999255e-001	2.291501e+000
8.252999999999254e-001	2.283105e+000
8.253285714284968e-001	2.280641e+000
8.253571428570683e-001	2.278623e+000
8.253857142856397e-001	2.277053e+000
8.254142857142112e-001	2.275929e+000
8.254428571427825e-001	2.275252e+000
8.254714285713540e-001	2.275022e+000
8.254999999999254e-001	2.275239e+000
8.255999999999254e-001	2.274679e+000
8.256999999999254e-001	2.272941e+000
8.257999999999254e-001	2.275301e+000
8.258428571427825e-001	2.277038e+000
8.258857142856396e-001	2.278460e+000
8.259285714284967e-001	2.279567e+000
8.259714285713540e-001	2.280360e+000
8.260142857142111e-001	2.280838e+000
8.260571428570682e-001	2.281001e+000
8.260999999999253e-001	2.280850e+000
8.261999999999253e-001	2.276818e+000
8.262999999999253e-001	2.274111e+000
8.264063999999253e-001	2.276949e+000
8.264999999999253e-001	2.276132e+000
8.265999999999253e-001	2.276152e+000
8.266999999999253e-001	2.274462e+000
8.267999999999253e-001	2.270729e+000
8.268999999999253e-001	2.269755e+000
8.269999999999252e-001	2.269729e+000
8.270154285717748e-001	2.269984e+000
8.270308571436243e-001	2.270174e+000
8.270462857154739e-001	2.270300e+000
8.270617142873233e-001	2.270360e+000
8.270771428591729e-001	2.270355e+000
8.270925714310224e-001	2.270285e+000
8.271080000028720e-001	2.270151e+000
8.272064000022826e-001	2.268573e+000
8.272999999999252e-001	2.265240e+000
8.273999999999252e-001	2.262264e+000
8.274285714284966e-001	2.262132e+000
8.274571428570681e-001	2.261667e+000
8.274857142856394e-001	2.260868e+000
8.275142857142109e-001	2.259735e+000
8.275428571427823e-001	2.258268e+000
8.275714285713538e-001	2.256468e+000
8.275999999999252e-001	2.254333e+000
8.276999999999252e-001	2.251574e+000
8.277999999999252e-001	2.252662e+000
8.278295974473749e-001	2.251887e+000
8.278591948948249e-001	2.251301e+000
8.278887923422746e-001	2.250903e+000
8.279183897897244e-001	2.250693e+000
8.279479872371742e-001	2.250671e+000
8.279775846846241e-001	2.250838e+000
8.280071821320739e-001	2.251192e+000
8.280999999999251e-001	2.255341e+000
8.281999999999251e-001	2.254250e+000
8.282999999999251e-001	2.248946e+000
8.283285714284965e-001	2.249348e+000
8.283571428570680e-001	2.249573e+000
8.283857142856393e-001	2.249620e+000
8.284142857142108e-001	2.249489e+000
8.284428571427822e-001	2.249181e+000
8.284714285713537e-001	2.248696e+000
8.284999999999251e-001	2.248032e+000
8.285999999999251e-001	2.249655e+000
8.286999999999251e-001	2.250840e+000
8.287999999999250e-001	2.248222e+000
8.288999999999250e-001	2.249328e+000
8.289999999999250e-001	2.251138e+000
8.290999999999250e-001	2.252922e+000
8.292078968377348e-001	2.254220e+000
8.292999999999250e-001	2.256292e+000
8.293999999999250e-001	2.256674e+000
8.294285714284964e-001	2.256297e+000
8.294571428570678e-001	2.255913e+000
8.294857142856392e-001	2.255522e+000
8.295142857142107e-001	2.255124e+000
8.295428571427821e-001	2.254720e+000
8.295714285713536e-001	2.254309e+000
8.295999999999250e-001	2.253891e+000
8.296999999999249e-001	2.257646e+000
8.297999999999249e-001	2.259026e+000
8.298177142856391e-001	2.257503e+000
8.298354285713533e-001	2.256154e+000
8.298531428570675e-001	2.254979e+000
8.298708571427818e-001	2.253978e+000
8.298885714284959e-001	2.253151e+000
8.299062857142101e-001	2.252498e+000
8.299239999999243e-001	2.252018e+000
8.299999999999249e-001	2.251415e+000
8.300999999999249e-001	2.251031e+000
8.301151999999255e-001	2.250742e+000
8.301303999999261e-001	2.250470e+000
8.301455999999267e-001	2.250214e+000
8.301607999999272e-001	2.249974e+000
8.301759999999278e-001	2.249751e+000
8.301911999999284e-001	2.249543e+000
8.302063999999290e-001	2.249352e+000
8.302999999999249e-001	2.250196e+000
8.303999999999249e-001	2.249649e+000
8.304999999999249e-001	2.248302e+000
8.305999999999248e-001	2.248255e+000
8.306999999999248e-001	2.248883e+000
